symbol,indices,avg_volume,sector
BSOFT,nifty_smallcap250,808136,Other
CAMS,nifty_smallcap250,2410390,Other
CANBK,"nifty_bank,nifty_next50,nifty_psu_bank",19204037,Banking
CANFINHOME,nifty_smallcap250,222621,Other
CANHLIFE,nifty_smallcap250,1814999,Other
CARBORUNIV,nifty_smallcap250,202984,Other
CARTRADE,nifty_smallcap250,796147,Other
CASTROLIND,"nifty_energy,nifty_smallcap250",1573163,Energy
CCL,nifty_smallcap250,303462,Other
CDSL,nifty_smallcap250,2341408,Other
CEATLTD,nifty_smallcap250,294904,Other
CEMPRO,nifty_smallcap250,4083897,Other
CENTRALBK,"nifty_psu_bank,nifty_smallcap250",5495263,PSU Bank
CESC,"nifty_energy,nifty_smallcap250",5470058,Energy
CGCL,nifty_smallcap250,2106016,Other
CGPOWER,"nifty_energy,nifty_infra,nifty_next50",4330807,Energy
CHALET,nifty_smallcap250,110496,Other
CHAMBLFERT,nifty_smallcap250,603436,Other
CHENNPETRO,nifty_smallcap250,3030069,Other
CHOICEIN,nifty_smallcap250,796297,Other
CHOLAFIN,nifty_next50,2600455,Other
CHOLAHLDNG,nifty_smallcap250,344796,Other
CIPLA,"nifty50,nifty_pharma",1764414,Pharma
CLEAN,nifty_smallcap250,770970,Other
COALINDIA,"nifty50,nifty_energy",13241788,Mining
COCHINSHIP,nifty_midcap150,2803722,Other
COFORGE,"nifty_it,nifty_midcap150",4160372,IT
COHANCE,nifty_smallcap250,7531439,Other
COLPAL,"nifty_fmcg,nifty_midcap150",494708,FMCG
CONCOR,nifty_midcap150,1230053,Other
CONCORDBIO,nifty_smallcap250,326281,Other
COROMANDEL,nifty_midcap150,396514,Other
CPPLUS,nifty_smallcap250,487672,Other
CRAFTSMAN,nifty_smallcap250,216440,Other
CREDITACC,nifty_smallcap250,999564,Other
CROMPTON,nifty_smallcap250,5879321,Other
CUB,nifty_smallcap250,3784850,Other
CUMMINSIND,"nifty_infra,nifty_next50",540297,Infra
CYIENT,nifty_smallcap250,580073,Other
DABUR,"nifty_fmcg,nifty_midcap150",2581545,FMCG
DALBHARAT,nifty_midcap150,353269,Other
DATAPATTNS,nifty_smallcap250,1586906,Other
DBCORP,nifty_media,108638,Media
DCMSHRIRAM,nifty_smallcap250,118971,Other
DEEPAKFERT,nifty_smallcap250,672238,Other
DEEPAKNTR,nifty_smallcap250,277869,Other
DELHIVERY,nifty_smallcap250,3264979,Other
DEVYANI,nifty_smallcap250,6282841,Other
DIVISLAB,"nifty_next50,nifty_pharma",280298,Pharma
DIXON,nifty_midcap150,639432,Other
DLF,"nifty_infra,nifty_next50,nifty_realty",3507358,Infra
DMART,nifty_next50,548905,Other
DRREDDY,"nifty50,nifty_pharma",3001894,Pharma
ECLERX,nifty_smallcap250,394034,Other
EICHERMOT,"nifty50,nifty_auto",596823,Auto
EIDPARRY,nifty_smallcap250,315611,Other
EIHOTEL,nifty_smallcap250,221085,Other
ELECON,nifty_smallcap250,1513282,Other
ELGIEQUIP,nifty_smallcap250,421321,Other
EMAMILTD,"nifty_fmcg,nifty_smallcap250",553087,FMCG
EMCURE,nifty_smallcap250,382069,Other
EMMVEE,nifty_smallcap250,6942298,Other
ENDURANCE,nifty_midcap150,113352,Other
ENGINERSIN,nifty_smallcap250,6522595,Other
ENRIN,"nifty_energy,nifty_next50",506066,Energy
ERIS,nifty_smallcap250,144128,Other
ESCORTS,nifty_midcap150,120457,Other
ETERNAL,nifty50,49527913,Other
EXIDEIND,"nifty_auto,nifty_midcap150",4712640,Auto
FACT,nifty_smallcap250,503997,Other
FEDERALBNK,"nifty_bank,nifty_midcap150",8590604,Banking
FINCABLES,nifty_smallcap250,682786,Other
FIRSTCRY,nifty_smallcap250,1890452,Other
FIVESTAR,nifty_smallcap250,1980944,Other
FLUOROCHEM,nifty_midcap150,160509,Other
FORCEMOT,nifty_smallcap250,150075,Other
FORTIS,"nifty_infra,nifty_midcap150",1364488,Infra
FSL,nifty_smallcap250,11270179,Other
GABRIEL,nifty_smallcap250,488312,Other
GAIL,"nifty_energy,nifty_infra,nifty_next50",10383921,Energy
GALLANTT,nifty_smallcap250,5732171,Other
GESHIP,nifty_smallcap250,655406,Other
GICRE,nifty_midcap150,639234,Other
GLAND,"nifty_pharma,nifty_smallcap250",148633,Pharma
GLENMARK,"nifty_midcap150,nifty_pharma",710130,Pharma
GMDCLTD,nifty_smallcap250,8591501,Other
GMRAIRPORT,nifty_midcap150,14294063,Other
GODFRYPHLP,nifty_midcap150,1120096,Other
GODIGIT,nifty_smallcap250,243939,Other
GODREJCP,"nifty_fmcg,nifty_next50",1665210,FMCG
GODREJIND,nifty_midcap150,452362,Other
GODREJPROP,"nifty_midcap150,nifty_realty",1130178,Realty
